method,precision_sigma_W,precision_sigma_L,precision_sigma_R,pos_jitter,bias_sigma_W,lwr_mae,ler_mae,n
seg-only,0.07019753003381386,0.05230393362156368,0.052783431727827214,0.4258432325053339,0.37636575937115896,0.3806749486248009,0.3070330941748883,1536
seg+pos,0.07018315608244545,0.05220971197134835,0.05242196577091818,0.42560172908512567,0.37729273406633485,0.38165621025837027,0.3076383636434912,1536
seg+pos+rms,0.0814092696661343,0.061359477728425794,0.05984606759769425,0.49862472907989286,0.23095408140216023,0.24117535350766653,0.19070865677349502,1536
seg+pos+rms+psd,0.14353653133124075,0.12280690964689711,0.12196134569724866,0.6730201981748299,0.22212110580100367,0.24658905374235474,0.17668631308576246,1536
full,0.14081638382170544,0.11864543848059839,0.12291087804017782,0.6252827400846096,0.22622804068184146,0.2504355403070804,0.1827035108799464,1536
