detector,localization,edge_mae,ler_mae,lwr_mae,n
canny,pixel,0.5758289830062654,0.22420926744311853,0.2682949951537695,1920
canny,sub-pixel,0.3620274042389124,0.11704171152081111,0.14725268768255886,1920
threshold,pixel,0.41845935213241414,0.06457892800053149,0.0830953677468838,1920
threshold,sub-pixel,0.2740479572455648,0.0641417086892607,0.07987466682291582,1920
