method,logpsd_L_all,logpsd_L_low,logpsd_L_mid,logpsd_L_high,logpsd_R_all,logpsd_R_low,logpsd_R_mid,logpsd_R_high,logpsd_W_all,logpsd_W_low,logpsd_W_mid,logpsd_W_high,logpsd_mean_all
seg-only,4.752428912123045,0.5269180885283277,4.738288859526317,6.716805171635416,4.687904251449638,0.5511893399887615,4.719480184217294,6.5655817500419085,4.497136305272579,0.4916167342155758,4.448798596527841,6.39417577534914,4.645823156281754
seg+pos,4.88181128833029,0.5308238414711215,4.939201443394025,6.832569637232357,4.836962075697051,0.5438575088538022,4.909444926347997,6.745912552542157,4.617930364608765,0.4907819007782059,4.645217972662714,6.495480940573746,4.778901242878702
seg+pos+rms,4.3358745286862055,0.42995565193963964,4.500484569701883,5.9739966687228945,4.298644421001275,0.42798435965087267,4.37522321873241,6.008524532616138,4.078421695778768,0.4109691378401799,4.15092147141695,5.698592691289054,4.237646881822083
seg+pos+rms+psd,0.946985393586672,0.3716331843493713,1.0618066436869817,1.0977114036368827,0.9718765423736638,0.34703607693987176,1.1059513372783032,1.1261897480425735,0.8466180725230111,0.3440025743614468,0.9177533323462639,1.0074592750312554,0.9218266694944489
full,0.9498281353256769,0.3889895777243914,1.1122329611952106,1.0462719578916828,0.9394341802638438,0.40693659472744914,1.0888502963301208,1.0357862659316095,0.8392507070572012,0.36824246261061894,0.9272446151926286,0.9686452882778314,0.9095043408822405
