variant,seed,train_seconds,n_params
seg-only,0,74.21552348136902,65786
seg-only,1,75.90653085708618,65786
seg-only,2,74.43868827819824,65786
full,0,125.52660870552063,65786
full,1,123.92829298973083,65786
full,2,122.46626043319702,65786
