method,edge_mae_mean,edge_mae_std,ler_mae_mean,ler_mae_std,lwr_mae_mean,lwr_mae_std,n
seg-only,0.23656494891167515,0.037700096887164275,0.025405086163017485,0.014229281779764895,0.03146610810524887,0.023816570008513026,1440
seg+pos,0.236942012499397,0.03826437856645068,0.02453598284886943,0.013823483954430652,0.0306698438194063,0.023130902843217775,1440
seg+pos+rms,0.24790074258214898,0.04308825501865353,0.013503256688515345,0.007713452013318075,0.02135662602053748,0.016385060763470488,1440
seg+pos+rms+psd,0.24768943577590916,0.045562258802789225,0.01335258541835679,0.007300122682257835,0.02066680242617925,0.015571438148594047,1440
full,0.24825069971589578,0.05098310854054584,0.014848382150133451,0.008313047317974425,0.021458478106392755,0.01604024464732025,1440
