variant,seed,train_seconds,n_params
seg-only,0,163.62585639953613,65786
seg+pos,0,105.17301082611084,65786
seg+pos+rms,0,83.99196267127991,65786
seg+pos+rms+psd,0,84.03065919876099,65786
full,0,80.39601635932922,65786
