method,n_params,train_seconds_measured,train_epochs_measured,train_seconds_per_epoch,train_seconds_extrapolated_full,inference_ms_per_image
Classical: threshold,,,,,,10.075650215148926
Classical: canny,,,,,,17.30386734008789
Learned (U-Net): seg-only,65786.0,77.10823965072632,10.0,7.710823965072632,308.4329586029053,20.441389083862305
Learned (U-Net): seg+pos,65786.0,80.53379964828491,10.0,8.05337996482849,322.13519859313965,19.511241912841797
Learned (U-Net): seg+pos+rms,65786.0,83.58267307281494,10.0,8.358267307281494,334.33069229125977,17.703857421875
Learned (U-Net): seg+pos+rms+psd,65786.0,77.01201105117798,10.0,7.701201105117798,308.0480442047119,17.584800720214844
Learned (U-Net): full,65786.0,71.46293878555298,10.0,7.146293878555298,285.8517551422119,18.613476753234863
