seed,config,edge_mae,ler_mae,lwr_mae
0,"(1.5, 8.0, 0.3, 0.0)",0.28136187668226287,0.08723043408612519,0.10164954071582688
0,"(1.5, 8.0, 0.3, 0.0)",0.2978586674004374,0.08174833918406377,0.13291820543539723
0,"(1.5, 8.0, 0.3, 0.0)",0.2789340955019556,0.0970120740455328,0.11052135075576253
0,"(1.5, 8.0, 0.3, 0.0)",0.30356861965212356,0.088518673045624,0.1289407470371513
0,"(1.5, 8.0, 0.3, 0.0)",0.2847779799837446,0.09051181626016336,0.12043725782635795
0,"(1.5, 8.0, 0.3, 0.0)",0.30732659023015496,0.07399293331785717,0.12023194252038327
0,"(1.5, 8.0, 0.3, 0.0)",0.29155125002565707,0.08650298220201735,0.09682227255665299
0,"(1.5, 8.0, 0.3, 0.0)",0.27840569446833285,0.07691776320003385,0.11963481506872542
0,"(1.5, 8.0, 0.3, 0.0)",0.2944157936807647,0.07102853187423919,0.10267722343066521
0,"(1.5, 8.0, 0.3, 0.0)",0.27203784788594265,0.09290189898885948,0.12331267734086104
0,"(1.5, 8.0, 0.3, 0.0)",0.2911482762898572,0.06654240329384531,0.09381623132657468
0,"(1.5, 8.0, 0.3, 0.0)",0.2757838963743473,0.07980021227258172,0.10421236127999367
0,"(1.5, 8.0, 0.3, 0.0)",0.2964003885561985,0.06578333599795705,0.11273755811996611
0,"(1.5, 8.0, 0.3, 0.0)",0.294863776670348,0.07876112743959696,0.09586019505810528
0,"(1.5, 8.0, 0.3, 0.0)",0.3182233652842585,0.08559353479120546,0.10424005806886383
0,"(1.5, 8.0, 0.3, 0.3)",0.29856182394263675,0.09097802033341817,0.08354325398681905
0,"(1.5, 8.0, 0.3, 0.3)",0.28813008390182226,0.07802760852801693,0.09668991227106827
0,"(1.5, 8.0, 0.3, 0.3)",0.2854017861919669,0.07624995780260702,0.11482277776123007
0,"(1.5, 8.0, 0.3, 0.3)",0.2815730852025214,0.08671105434075943,0.09442289279395966
0,"(1.5, 8.0, 0.3, 0.3)",0.2958879600517841,0.10652659155511734,0.07980595416000713
0,"(1.5, 8.0, 0.3, 0.3)",0.29668637053983316,0.10895034602791243,0.07989913905022039
0,"(1.5, 8.0, 0.3, 0.3)",0.2802911392969285,0.07815368658191324,0.0850339480263076
0,"(1.5, 8.0, 0.3, 0.3)",0.28522603316512474,0.07714387641045817,0.06804782431580247
0,"(1.5, 8.0, 0.3, 0.3)",0.28622890531547585,0.07612594040774356,0.0653879909432653
0,"(1.5, 8.0, 0.3, 0.3)",0.27472180628879833,0.0951823868256767,0.1115342714195291
0,"(1.5, 8.0, 0.3, 0.3)",0.31440825162771857,0.08863039338228218,0.062020048282475315
0,"(1.5, 8.0, 0.3, 0.3)",0.28489351231139526,0.09531055899828522,0.07569144055977972
0,"(1.5, 8.0, 0.3, 0.3)",0.2815264734975961,0.09863099043912049,0.12587073643625812
0,"(1.5, 8.0, 0.3, 0.3)",0.2887076271794697,0.08727180009774027,0.12790825568174435
0,"(1.5, 8.0, 0.3, 0.3)",0.2756701841315229,0.08402343302728332,0.08289323040236574
0,"(1.5, 8.0, 0.3, 0.6)",0.3076009858078602,0.08357190667216996,0.06102605929353033
0,"(1.5, 8.0, 0.3, 0.6)",0.28370007794440555,0.08514333081566638,0.03818966330243567
0,"(1.5, 8.0, 0.3, 0.6)",0.30169647810579303,0.07696918931900609,0.02839197061919374
0,"(1.5, 8.0, 0.3, 0.6)",0.2790773060529791,0.09797663885475105,0.04340568950733914
0,"(1.5, 8.0, 0.3, 0.6)",0.27559247440696416,0.0750186413726005,0.05268619572343569
0,"(1.5, 8.0, 0.3, 0.6)",0.2705904573507443,0.09782951422559905,0.08797058329446772
0,"(1.5, 8.0, 0.3, 0.6)",0.272070119234341,0.06223897130037559,0.0482495138795207
0,"(1.5, 8.0, 0.3, 0.6)",0.30738515048840276,0.08344358887372894,0.06971841562994618
0,"(1.5, 8.0, 0.3, 0.6)",0.30128308973072926,0.06240133954512661,0.05532447671328722
0,"(1.5, 8.0, 0.3, 0.6)",0.3022922042584192,0.0801310160562353,0.07265771649251263
0,"(1.5, 8.0, 0.3, 0.6)",0.311415936066993,0.07458885300723495,0.056981939692295924
0,"(1.5, 8.0, 0.3, 0.6)",0.28730647961709865,0.08509902264016989,0.02716183239868264
0,"(1.5, 8.0, 0.3, 0.6)",0.27740060502678404,0.07372892624048344,0.04670531467682704
0,"(1.5, 8.0, 0.3, 0.6)",0.29047806787079894,0.051029419848966584,0.010453609256995344
0,"(1.5, 8.0, 0.3, 0.6)",0.27233997645619407,0.103208833496226,0.086673733851925
