method,seed,k_n,config,precision_sigma_L,precision_sigma_R,precision_sigma_W,pos_jitter,bias_sigma_L,bias_sigma_R,bias_sigma_W,ler_mae,lwr_mae,edge_mae
seg-only,0,2.7215246093245504,"(1.5, 8.0, 0.3, 0.3)",0.06751851737499237,0.05210059508681297,0.07053862512111664,0.3366726338863373,0.48495709896087646,0.3868449926376343,0.5389155149459839,0.43590106070041656,0.5389155745506287,0.8228776752948761
seg-only,0,2.7215246093245504,"(1.5, 8.0, 0.3, 0.3)",0.06007850170135498,0.029054155573248863,0.0522586815059185,0.3612760156393051,0.4175366163253784,0.3962777853012085,0.489953875541687,0.40690720081329346,0.489953875541687,0.8371124267578125
seg-only,0,2.7215246093245504,"(1.5, 8.0, 0.3, 0.3)",0.04830142483115196,0.06632005423307419,0.05993792787194252,0.3523142337799072,0.3643585443496704,0.4114154577255249,0.4046330451965332,0.38788698613643646,0.40463292598724365,0.8156838417053223
seg-only,0,2.7215246093245504,"(1.5, 8.0, 0.3, 0.3)",0.02839212492108345,0.06235133856534958,0.06100962683558464,0.33681079745292664,0.43557894229888916,0.36282145977020264,0.5468254089355469,0.3992001861333847,0.5468254089355469,0.8227217495441437
seg-only,0,5.443049218649101,"(1.5, 8.0, 0.3, 0.3)",0.06137247383594513,0.05822106450796127,0.05291425809264183,0.36276914179325104,0.39178216457366943,0.39433228969573975,0.457431435585022,0.393057256937027,0.45743149518966675,0.8111618161201477
seg-only,0,5.443049218649101,"(1.5, 8.0, 0.3, 0.3)",0.05900025740265846,0.04027128592133522,0.07396398484706879,0.3525574952363968,0.432289719581604,0.40771484375,0.46909308433532715,0.42000235617160797,0.46909311413764954,0.8473767638206482
seg-only,0,5.443049218649101,"(1.5, 8.0, 0.3, 0.3)",0.0379217267036438,0.0677182748913765,0.05866716429591179,0.37348365783691406,0.3894907236099243,0.3781517744064331,0.4631383419036865,0.3838212490081787,0.46313828229904175,0.8062865138053894
seg-only,0,5.443049218649101,"(1.5, 8.0, 0.3, 0.3)",0.04663582891225815,0.03753872960805893,0.05283878743648529,0.3643195182085037,0.4293915033340454,0.3914775848388672,0.5439451932907104,0.4104345887899399,0.5439451336860657,0.811337947845459
seg-only,0,10.886098437298202,"(1.5, 8.0, 0.3, 0.3)",0.03666149079799652,0.04953669384121895,0.06485534459352493,0.39965829253196716,0.4031602144241333,0.3688840866088867,0.3974419832229614,0.3860221356153488,0.3974420428276062,0.8366222381591797
seg-only,0,10.886098437298202,"(1.5, 8.0, 0.3, 0.3)",0.06590232998132706,0.0787258893251419,0.06494111567735672,0.3945746570825577,0.3862844705581665,0.3696415424346924,0.43331587314605713,0.37796296179294586,0.43331581354141235,0.8197243511676788
seg-only,0,10.886098437298202,"(1.5, 8.0, 0.3, 0.3)",0.05389578640460968,0.07045000791549683,0.11908373981714249,0.39069314301013947,0.45598363876342773,0.31560707092285156,0.4593808650970459,0.38579536974430084,0.4593808650970459,0.8443964421749115
