d_sigma_L,d_sigma_R,d_sigma_W,d_pos,d_width,sigma_W_A,sigma_W_B,method,pair,y_A,width_px,ncc
0.15430569648742676,0.008161067962646484,0.29038095474243164,1.26114018565438,1.8535514611501966,5.7624831199646,6.052864074707031,classical,sem0014.png->sem0036.png,120,23.5,0.8358350992202759
0.3251810073852539,0.01862955093383789,0.3816337585449219,6.830751419067383,1.3980712890625,8.926289558410645,9.307923316955566,learned,sem0014.png->sem0036.png,120,23.5,0.8358350992202759
1.1817107200622559,0.4990558624267578,2.581529140472412,3.0665710460416506,7.696550889933178,5.410678386688232,7.9922075271606445,classical,sem0014.png->sem0036.png,258,10.5,0.8358350992202759
0.8008303642272949,0.5825204849243164,0.28765296936035156,5.180228233337402,3.3101348876953125,7.434556007385254,7.146903038024902,learned,sem0014.png->sem0036.png,258,10.5,0.8358350992202759
0.6593708992004395,0.35774827003479004,1.100830078125,1.9858109826920405,4.304115937938313,5.366374492645264,6.467204570770264,classical,sem0014.png->sem0036.png,300,21.0,0.8358350992202759
0.409393310546875,0.6034450531005859,0.748936653137207,6.889394760131836,1.1266899108886719,9.995936393737793,9.246999740600586,learned,sem0014.png->sem0036.png,300,21.0,0.8358350992202759
0.42047691345214844,0.6705832481384277,1.2593631744384766,1.7703992899396974,3.024475671628011,7.386354446411133,6.126991271972656,classical,sem0014.png->sem0036.png,890,25.0,0.8358350992202759
0.1066584587097168,0.5378689765930176,0.2369251251220703,5.2465925216674805,0.08310699462890625,7.410130977630615,7.173205852508545,learned,sem0014.png->sem0036.png,890,25.0,0.8358350992202759
0.14596712589263916,0.1207585334777832,0.0322648286819458,1.7201410693552504,0.16470998990367747,1.9157439470291138,1.883479118347168,classical,sem0014.png->sem0036.png,1434,25.0,0.8358350992202759
0.1841576099395752,0.3267323970794678,0.2449648380279541,3.3169214725494385,0.31877899169921875,3.9778072834014893,4.222772121429443,learned,sem0014.png->sem0036.png,1434,25.0,0.8358350992202759
0.18326079845428467,0.027153611183166504,0.10674667358398438,2.0480080246549677,0.2787802774271668,2.2446305751800537,2.1378839015960693,classical,sem0014.png->sem0036.png,1481,20.0,0.8358350992202759
0.0321650505065918,0.5024058818817139,0.18561172485351562,4.345582008361816,0.034122467041015625,4.038193702697754,4.2238054275512695,learned,sem0014.png->sem0036.png,1481,20.0,0.8358350992202759
0.004033207893371582,0.08547675609588623,0.06303977966308594,1.741923243026517,0.3852438348059124,1.9407529830932617,2.0037927627563477,classical,sem0014.png->sem0036.png,1528,25.0,0.8358350992202759
0.3838043212890625,0.31214916706085205,0.01314687728881836,1.8092756271362305,0.3321685791015625,2.3335418701171875,2.346688747406006,learned,sem0014.png->sem0036.png,1528,25.0,0.8358350992202759
0.5742440223693848,0.11418390274047852,0.17453908920288086,1.1084739701318091,0.9346397552007417,6.526333808898926,6.700872898101807,classical,sem0014.png->sem0036.png,1616,24.0,0.8358350992202759
0.07600641250610352,0.21818161010742188,0.1629629135131836,4.9155378341674805,0.29875946044921875,8.424198150634766,8.58716106414795,learned,sem0014.png->sem0036.png,1616,24.0,0.8358350992202759
0.0065441131591796875,0.2819333076477051,0.4562711715698242,1.537541354763782,1.572380517018459,8.206191062927246,8.66246223449707,classical,sem0014.png->sem0036.png,1660,24.5,0.8358350992202759
0.544407844543457,0.23787212371826172,0.8710727691650391,4.200695037841797,0.31982421875,10.076926231384277,9.205853462219238,learned,sem0014.png->sem0036.png,1660,24.5,0.8358350992202759
0.07572746276855469,0.0096435546875,0.012561798095703125,1.940296113533396,0.5597310802901703,10.230003356933594,10.242565155029297,classical,sem0014.png->sem0036.png,1706,21.5,0.8358350992202759
0.023476600646972656,0.3367133140563965,0.3104267120361328,4.988542556762695,0.5442581176757812,11.065469741821289,10.755043029785156,learned,sem0014.png->sem0036.png,1706,21.5,0.8358350992202759
0.296785831451416,0.09425640106201172,0.21604537963867188,1.0137083115652632,0.42053784770408953,10.15031909942627,9.934273719787598,classical,sem0014.png->sem0036.png,1752,22.5,0.8358350992202759
0.04896688461303711,0.29328250885009766,0.21610736846923828,5.228590965270996,0.09909820556640625,8.498234748840332,8.71434211730957,learned,sem0014.png->sem0036.png,1752,22.5,0.8358350992202759
0.03855252265930176,0.07220745086669922,0.1133413314819336,1.8262343173002191,0.19641522438415393,3.2325949668884277,3.119253635406494,classical,sem0014.png->sem0036.png,1798,24.0,0.8358350992202759
0.26700782775878906,0.014312028884887695,0.20779871940612793,2.763298511505127,0.23791885375976562,3.9795920848846436,4.1873908042907715,learned,sem0014.png->sem0036.png,1798,24.0,0.8358350992202759
1.3114309310913086,0.5910079479217529,0.8221635818481445,2.43681874015371,1.0088996844321372,8.729815483093262,9.551979064941406,classical,sem0014.png->sem0036.png,1888,23.0,0.8358350992202759
0.6874227523803711,0.5087676048278809,0.13031864166259766,4.408268451690674,0.22061920166015625,8.165185928344727,8.295504570007324,learned,sem0014.png->sem0036.png,1888,23.0,0.8358350992202759
0.2675914764404297,0.17564821243286133,0.09338092803955078,2.000697667553119,0.2469556970539344,8.363110542297363,8.269729614257812,classical,sem0014.png->sem0036.png,1934,24.0,0.8358350992202759
0.19008684158325195,0.4284851551055908,0.14029884338378906,2.9103825092315674,0.1972198486328125,6.8566789627075195,6.7163801193237305,learned,sem0014.png->sem0036.png,1934,24.0,0.8358350992202759
0.9390773773193359,0.13671875,1.564957618713379,2.9612800668340435,1.5774468263386225,6.762149810791016,8.327107429504395,classical,sem0014.png->sem0036.png,2024,22.5,0.8358350992202759
0.07086992263793945,0.07200813293457031,0.13212203979492188,4.319664001464844,0.11688995361328125,8.900164604187012,9.032286643981934,learned,sem0014.png->sem0036.png,2024,22.5,0.8358350992202759
0.11200857162475586,0.028328657150268555,0.03380012512207031,1.9585709837629048,0.7114681401662892,8.399656295776367,8.365856170654297,classical,sem0014.png->sem0036.png,2069,22.0,0.8358350992202759
0.17963409423828125,0.10241937637329102,0.22518587112426758,3.2607598304748535,0.22204208374023438,7.481542587280273,7.706728458404541,learned,sem0014.png->sem0036.png,2069,22.0,0.8358350992202759
0.09360980987548828,0.31264638900756836,0.028082847595214844,2.0598723912754817,0.14345466273004348,9.044852256774902,9.072935104370117,classical,sem0014.png->sem0036.png,2116,22.5,0.8358350992202759
0.07849740982055664,0.063446044921875,0.0511164665222168,3.7761240005493164,0.5708122253417969,7.521079063415527,7.572195529937744,learned,sem0014.png->sem0036.png,2116,22.5,0.8358350992202759
0.5528216361999512,1.3633010387420654,0.8363437652587891,2.542468550988734,2.1397310469754274,8.58541488647461,9.421758651733398,classical,sem0014.png->sem0036.png,2159,14.0,0.8358350992202759
0.1988058090209961,0.15322637557983398,0.2483844757080078,7.205167293548584,1.5484237670898438,9.71010971069336,9.958494186401367,learned,sem0014.png->sem0036.png,2159,14.0,0.8358350992202759
0.4279360771179199,1.458134651184082,0.4683232307434082,4.178164730191367,3.47912763956316,7.26990270614624,7.738225936889648,classical,sem0014.png->sem0036.png,2208,25.0,0.8358350992202759
