method,edge_mae_mean,edge_mae_std,ler_mae_mean,ler_mae_std,lwr_mae_mean,lwr_mae_std,n
seg-only,0.23854234064411786,0.038271493878001675,0.023245527636673716,0.013283492551972368,0.029366586978236835,0.022417222356272127,1440
seg+pos,0.23766334566494657,0.037466214882547325,0.022758387567268477,0.012982514930298492,0.028770668514900736,0.021996489851246116,1440
seg+pos+rms,0.24625893203127716,0.04474672165904399,0.014386686806877455,0.008345391669005282,0.021488124049372143,0.016429770095341623,1440
seg+pos+rms+psd,0.247696324556859,0.045880017246166464,0.014253778010606765,0.008009732383978795,0.021070947498083116,0.01605254238213255,1440
full,0.24833902456383738,0.051211228276106864,0.01379281265868081,0.007624113977354436,0.020667342303527726,0.015579893939076708,1440
