method,edge_mae,ler_mae,lwr_mae,n
Classical: Threshold + sub-pixel,0.2740649974104809,0.06366157951074965,0.07965378854137847,1920
Learned denoiser + threshold [TBD -- not implemented],,,,0
"Learned (U-Net), Seg-only",0.23831829951765637,0.024214140180912284,0.029745679017570283,1440
"Learned (U-Net), Full",0.24938282703256442,0.014384369055430094,0.020574297631780307,1440
