method,n_params,train_seconds_measured,train_epochs_measured,train_seconds_per_epoch,train_seconds_extrapolated_full,inference_ms_per_image
Classical: threshold,,,,,,10.775680541992188
Classical: canny,,,,,,20.41832447052002
Learned (U-Net): seg-only,65786.0,3.7685961723327637,10.0,0.3768596172332764,15.074384689331055,1.5157318115234375
Learned (U-Net): seg+pos,65786.0,2.599881649017334,10.0,0.2599881649017334,10.399526596069336,1.5237140655517578
Learned (U-Net): seg+pos+rms,65786.0,2.853742837905884,10.0,0.2853742837905884,11.414971351623535,1.5507888793945312
Learned (U-Net): seg+pos+rms+psd,65786.0,4.114903450012207,10.0,0.4114903450012207,16.459613800048828,1.500229835510254
Learned (U-Net): full,65786.0,4.165954828262329,10.0,0.41659548282623293,16.663819313049316,1.496419906616211
