method,n_params,train_seconds_measured,train_epochs_measured,train_seconds_per_epoch,train_seconds_extrapolated_full,inference_ms_per_image
Classical: threshold,,,,,,10.324869155883789
Classical: canny,,,,,,18.284730911254883
Learned (U-Net): seg-only,65786.0,1.9306795597076416,5.0,0.3861359119415283,15.445436477661133,1.6002178192138672
Learned (U-Net): seg+pos,65786.0,0.6836519241333008,5.0,0.13673038482666017,5.469215393066406,1.6050338745117188
Learned (U-Net): seg+pos+rms,65786.0,0.7357780933380127,5.0,0.14715561866760254,5.886224746704102,1.6153669357299805
Learned (U-Net): seg+pos+rms+psd,65786.0,1.161165714263916,5.0,0.2322331428527832,9.289325714111328,1.591658592224121
Learned (U-Net): full,65786.0,1.087937355041504,5.0,0.21758747100830078,8.703498840332031,1.6096973419189453
