method,precision_sigma_W,precision_sigma_L,precision_sigma_R,pos_jitter,bias_sigma_W,lwr_mae,ler_mae,n
seg-only,0.005141591400653549,0.0036816077765706723,0.003677276772634741,0.09477681445787312,0.029007517150603235,0.029295441398668725,0.023794154990658473,1536
seg+pos,0.0052762991026990376,0.0038191141425159003,0.003743014506824238,0.09528013502737546,0.030117786101376016,0.030391608937255416,0.024796534666772157,1536
seg+pos+rms,0.005667358637613991,0.0040032628271546855,0.004034644575009831,0.11224976411419145,0.01982548114998887,0.020405822705167036,0.013884270539468465,1536
seg+pos+rms+psd,0.005838178824888018,0.004168813915043756,0.004187009414598227,0.11689919835407636,0.020632958815743525,0.021249938377877697,0.013884611539348649,1536
full,0.005390548791448661,0.003827861182628567,0.003907864193441431,0.09544377133412733,0.020123223580109578,0.020655219079344533,0.013383086387572499,1536
