method,edge_mae_mean,edge_mae_std,ler_mae_mean,ler_mae_std,lwr_mae_mean,lwr_mae_std,n
seg-only,0.8916610256665283,0.34222248350297285,0.3188743157726195,0.21712422465794093,0.39495850627621015,0.31248264893301214,1440
seg+pos,0.889709630360206,0.34217086810959246,0.3076026912364695,0.21341019176503526,0.38101874358124205,0.3062780125057914,1440
seg+pos+rms,0.9059605876294275,0.3357369553529475,0.20057087642037205,0.1767985913630397,0.25162081234157085,0.24551167409687286,1440
seg+pos+rms+psd,1.0023368099186984,0.3661076867443919,0.1853336135753327,0.1361455034355661,0.22639791236983406,0.20616400270706617,1440
full,0.9761199616827071,0.3777632473913287,0.1703792714824279,0.12533666511600053,0.21836643541852632,0.19082969707132078,1440
