method,logpsd_L_all,logpsd_L_low,logpsd_L_mid,logpsd_L_high,logpsd_R_all,logpsd_R_low,logpsd_R_mid,logpsd_R_high,logpsd_W_all,logpsd_W_low,logpsd_W_mid,logpsd_W_high,logpsd_mean_all
seg-only,0.16205112896083543,0.03334068067423585,0.1243250000083612,0.25918209504387857,0.150735145367475,0.034146486052648264,0.11785878852889356,0.23742166524752975,0.1735494253743026,0.0397404301555879,0.13706140722432691,0.27179545843715053,0.16211189990087102
seg+pos,0.17593868635336143,0.03344158703144381,0.13004910085065705,0.28759617995108583,0.16641341023043627,0.03448676005613783,0.12524499119026586,0.26847106743500465,0.18308612312086756,0.03985659448080696,0.14163999227651705,0.2906382076054191,0.17514607323488843
seg+pos+rms,0.14830017698307832,0.03729364163332826,0.12102939914006533,0.22680475340586984,0.1444860228828879,0.03642360808508885,0.11600707980105654,0.22283993975207622,0.17296910122709555,0.043166656831615705,0.14068964772676634,0.26515739048675946,0.1552517670310206
seg+pos+rms+psd,0.14733524567499343,0.03619939004290952,0.11867717880781534,0.2272867982327524,0.1439831814961508,0.03837842447941916,0.11702591481152921,0.2196811178440435,0.16775473111774772,0.04362194434021755,0.13613705896487874,0.25666447336423315,0.15302438609629732
full,0.14388727045928437,0.037662774270736714,0.11775661605125708,0.2190446292127793,0.14187280558204898,0.03983023813602308,0.11512699247881149,0.21571520098174612,0.16402630637296373,0.04493204174796119,0.13471916854355692,0.24830004274327722,0.14992879413809904
