seed,config,edge_mae,ler_mae,lwr_mae
0,"(1.5, 8.0, 0.3, 0.0)",1.3540131284178714,0.3111820189764225,0.43462574130737286
0,"(1.5, 8.0, 0.3, 0.0)",1.371243430819454,0.3124210816885421,0.3525239221872305
0,"(1.5, 8.0, 0.3, 0.0)",1.3692640142060095,0.2706562444185282,0.41080045623479045
0,"(1.5, 8.0, 0.3, 0.0)",1.425455240821735,0.35435794601688886,0.5491168164575313
0,"(1.5, 8.0, 0.3, 0.0)",1.3719160495736897,0.27822759044909917,0.4718590806654719
0,"(1.5, 8.0, 0.3, 0.0)",1.3562587290321346,0.3680792674419391,0.4886937889248639
0,"(1.5, 8.0, 0.3, 0.0)",1.3785818312663105,0.2636902306283819,0.21448586033985007
0,"(1.5, 8.0, 0.3, 0.0)",1.4465169733797274,0.31348327073277393,0.38061874159118103
0,"(1.5, 8.0, 0.3, 0.0)",1.3581777076371317,0.31655503465660284,0.31394689399803477
0,"(1.5, 8.0, 0.3, 0.0)",1.355117704906041,0.33419822952530387,0.45567986646225633
0,"(1.5, 8.0, 0.3, 0.0)",1.3385764801943458,0.2767926961610353,0.506142015036718
0,"(1.5, 8.0, 0.3, 0.0)",1.438449266985643,0.24610865157597872,0.19717235939386502
0,"(1.5, 8.0, 0.3, 0.0)",1.3366423451614489,0.3392873590546489,0.40010381922917526
0,"(1.5, 8.0, 0.3, 0.0)",1.3721944097826206,0.32334578507355016,0.5089942493344191
0,"(1.5, 8.0, 0.3, 0.0)",1.383673889347277,0.36571512210581736,0.5076506274781374
0,"(1.5, 8.0, 0.3, 0.3)",1.3115925365712293,0.3151464288530975,0.14033085034228443
0,"(1.5, 8.0, 0.3, 0.3)",1.4147337274841358,0.3525060692009476,0.03907583125632663
0,"(1.5, 8.0, 0.3, 0.3)",1.4079865700783738,0.31731516256028525,0.055542569210782045
0,"(1.5, 8.0, 0.3, 0.3)",1.353233032704403,0.2813116952750775,0.1380420204923889
0,"(1.5, 8.0, 0.3, 0.3)",1.3567702362540877,0.2590301892145439,0.07000337107111543
0,"(1.5, 8.0, 0.3, 0.3)",1.4144426082575596,0.27697344352163544,0.07942874979741288
0,"(1.5, 8.0, 0.3, 0.3)",1.3529742450284727,0.2783661519967404,0.13162017651083358
0,"(1.5, 8.0, 0.3, 0.3)",1.4081198523694392,0.3184165410486628,0.07897319918764989
0,"(1.5, 8.0, 0.3, 0.3)",1.4003101035428978,0.2911844827208282,0.39368736878996424
0,"(1.5, 8.0, 0.3, 0.3)",1.3631917073978408,0.3482035307277134,0.39378757184292623
0,"(1.5, 8.0, 0.3, 0.3)",1.3775402526890441,0.3449083766014074,0.03489877372827044
0,"(1.5, 8.0, 0.3, 0.3)",1.3721013430900484,0.27697007411054575,0.10874699450002212
0,"(1.5, 8.0, 0.3, 0.3)",1.3354178321565207,0.2943134078538421,0.04796913388387525
0,"(1.5, 8.0, 0.3, 0.3)",1.3891562715799457,0.2767800389283942,0.12636728637597971
0,"(1.5, 8.0, 0.3, 0.3)",1.3797726909869361,0.2675960732762549,0.09102166925640631
0,"(1.5, 8.0, 0.3, 0.6)",1.3860522289597617,0.3083753493213196,0.3520492266991502
0,"(1.5, 8.0, 0.3, 0.6)",1.3236986929988561,0.30420076349346803,0.2713119766895775
0,"(1.5, 8.0, 0.3, 0.6)",1.3965776222236121,0.28693534835865353,0.40197106282291095
0,"(1.5, 8.0, 0.3, 0.6)",1.3209812626721145,0.2853475742846219,0.10200076653228285
0,"(1.5, 8.0, 0.3, 0.6)",1.3827167210490465,0.36034578467212286,0.27683099109690845
0,"(1.5, 8.0, 0.3, 0.6)",1.405747913965385,0.37720245526402907,0.24527612466319137
0,"(1.5, 8.0, 0.3, 0.6)",1.402033810497374,0.3331225269006217,0.32809511888685927
0,"(1.5, 8.0, 0.3, 0.6)",1.3625230888578175,0.36971325642235964,0.2728306557363762
0,"(1.5, 8.0, 0.3, 0.6)",1.3651485519758277,0.2729231883454911,0.3366476766935551
0,"(1.5, 8.0, 0.3, 0.6)",1.3608688241051041,0.30975585149520224,0.408847037158411
0,"(1.5, 8.0, 0.3, 0.6)",1.3500987228898818,0.2501459842000573,0.4008801100036663
