method,n,d_sigma_W_mean,d_sigma_W_median,d_sigma_L_mean,d_sigma_R_mean,d_pos_mean,d_width_mean,sigma_W_mean
classical,548,0.5915141623385631,0.361483097076416,0.39665545794836043,0.38012945491063344,2.3187019195685035,2.2024324758224623,5.521391929283629
learned,548,0.5402143232143708,0.35681891441345215,0.34513803799874593,0.3488497273982876,5.19236799139176,1.4685014268777665,7.532810182684529
