method,edge_mae_mean,edge_mae_std,ler_mae_mean,ler_mae_std,lwr_mae_mean,lwr_mae_std,n
seg-only,0.8935659690760076,0.342339900323558,0.31969269518223076,0.21827583702798328,0.3963336807158258,0.3140088638612608,1440
seg+pos,0.8903900403632886,0.34140979341283095,0.30231108361234266,0.21160570421532743,0.3743919738050964,0.30341891188478287,1440
seg+pos+rms,0.9079052084229059,0.33617195805441735,0.20793257202539178,0.18358594140312473,0.26173044190638595,0.25405899740623195,1440
seg+pos+rms+psd,0.9995036227732069,0.3758103123740415,0.17814804257618055,0.12472108759910415,0.2271277021202776,0.19921958731336428,1440
full,0.984080681277232,0.36397316440904653,0.19574783655504385,0.1526518486278727,0.23957634402645958,0.21951725823302923,1440
