method,precision_sigma_W,precision_sigma_L,precision_sigma_R,pos_jitter,bias_sigma_W,lwr_mae,ler_mae,n
seg-only,0.005157656368965036,0.003741308803796528,0.0036437371722210323,0.0958349196795704,0.02645593505197515,0.026784832322543178,0.02154872425793049,1536
seg+pos,0.005151256235687167,0.003681247518367551,0.003719143968472357,0.09054426496125718,0.031527735913793244,0.031778326282316506,0.026097673689946532,1536
seg+pos+rms,0.005687193798356323,0.004067223052610795,0.0039899175191067116,0.10993113015198712,0.01997053433054437,0.020547203690512106,0.013433633520132085,1536
seg+pos+rms+psd,0.005645234285528507,0.0040563072496505965,0.00405016462354979,0.11387538102583979,0.020610274785819154,0.02116399975299525,0.013336074526402323,1536
full,0.00543138501014558,0.0038712783118247294,0.003901906030819191,0.09266844213016157,0.01881066255737096,0.019319554504666787,0.012650620315980632,1536
