method,edge_mae,ler_mae,lwr_mae,n
Classical: Threshold + sub-pixel,0.2740649974104809,0.06366157951074965,0.07965378854137847,1920
Learned denoiser + threshold [TBD -- not implemented],,,,0
"Learned (U-Net), Seg-only",0.2399136292696413,0.02232597041875124,0.028282497202356656,1440
"Learned (U-Net), Full",0.2505541069691794,0.014421345127953424,0.02069734786119726,1440
