method,edge_mae_mean,edge_mae_std,ler_mae_mean,ler_mae_std,lwr_mae_mean,lwr_mae_std,n
seg-only,0.4244348525535315,0.19581358099478754,0.15669204853475094,0.10181947137287829,0.16946779564023018,0.12721207936804277,64
seg+pos,0.4112722607096657,0.19069179392784108,0.14227853622287512,0.09526245498458476,0.15226165764033794,0.11862690980591625,64
seg+pos+rms,0.44330582302063704,0.20538858277214378,0.13139082212001085,0.07982785995878228,0.13539971597492695,0.10421969536538199,64
seg+pos+rms+psd,0.5960025258827955,0.3361133052559155,0.07773002609610558,0.06883096255466496,0.14144292287528515,0.1545617759686634,64
full,0.5152384402463213,0.2949641308993346,0.06308712437748909,0.04521088737699013,0.10784290544688702,0.12471473417458863,64
