method,n_params,train_seconds_measured,train_epochs_measured,train_seconds_per_epoch,train_seconds_extrapolated_full,inference_ms_per_image
Classical: threshold,,,,,,22.61976718902588
Classical: canny,,,,,,31.909608840942383
Learned (U-Net): seg-only,65786.0,48.074209690093994,5.0,9.614841938018799,384.59367752075195,45.807251930236816
Learned (U-Net): seg+pos,65786.0,46.29820656776428,5.0,9.259641313552857,370.38565254211426,46.21537685394287
Learned (U-Net): seg+pos+rms,65786.0,45.88693332672119,5.0,9.177386665344239,367.09546661376953,34.94194507598877
Learned (U-Net): seg+pos+rms+psd,65786.0,33.22397994995117,5.0,6.644795989990234,265.7918395996094,38.034729957580566
Learned (U-Net): full,65786.0,33.45868229866028,5.0,6.691736459732056,267.6694583892822,34.21065330505371
