,mean,std,min,max,count
sigma_L,17.56405598124541,19.442527774642503,0.0,175.78173231047347,4365.0
sigma_R,17.520459627116164,17.531219320042545,0.7470699989203122,144.1322959870487,4365.0
sigma_W,23.15847946906602,18.67398966022648,1.160383669360716,187.35357802141803,4365.0
mean_linewidth,19.96303336197022,24.589846203451575,0.8145833333333333,414.7270833333333,4365.0
xi_L,11.863752309606516,1.3777367043425945,4.9820187680586425,48.22788877844959,4365.0
alpha_L,0.949632767237537,0.014212337901603467,0.28715047637929253,0.9499999999999998,4365.0
xi_R,11.829648557273522,1.7007993308887692,0.5000000000000004,69.81163411285675,4365.0
alpha_R,0.9494036584129036,0.02158702677957,0.05000000000000001,0.9499999999999998,4365.0
xi_W,11.324224062839471,1.3280782301534637,0.5000000000000001,24.14023615353806,4365.0
alpha_W,0.9494384510562197,0.019357154087964457,0.05000000000000001,0.9499999999999998,4365.0
