method,logpsd_L_all,logpsd_L_low,logpsd_L_mid,logpsd_L_high,logpsd_R_all,logpsd_R_low,logpsd_R_mid,logpsd_R_high,logpsd_W_all,logpsd_W_low,logpsd_W_mid,logpsd_W_high,logpsd_mean_all
seg-only,0.16467133126376818,0.03372795270568329,0.1240243495377298,0.26575373497325927,0.15866952487267555,0.03432649387331266,0.12194914701006686,0.25277900753749744,0.17715702372758338,0.03984255741492638,0.13819515709635904,0.2794948147402869,0.16683262662134238
seg+pos,0.17166342537901882,0.03387316195844,0.12925438222915142,0.27766799073304155,0.16880491677826892,0.03466932218709391,0.12795833872450102,0.2715602468750957,0.18196355957382668,0.040124149411632164,0.141474719665065,0.2879167591402721,0.1741439672437048
seg+pos+rms,0.14664455142079127,0.03555705083708745,0.11937361210067239,0.22518665845919814,0.1456659550907918,0.03666549945094933,0.11729048850118286,0.22434933694182999,0.1721569198752857,0.04220991731627793,0.1380808063549921,0.26620858827243665,0.15482247546228958
seg+pos+rms+psd,0.1488591977627948,0.03635228586046853,0.12108498526892314,0.22855969122222936,0.1478637634517832,0.038399193463394314,0.12075136410486367,0.22549828607071604,0.1685329134369062,0.04356354601008611,0.13809901480174933,0.2566449971481537,0.15508529155049472
full,0.14889984154142438,0.03763267049410691,0.11651487360811896,0.23263890153935385,0.14710034776427267,0.039527821154721705,0.11827651415822199,0.22557305270392033,0.16833029962920895,0.04499231529577325,0.13634496132920806,0.25724087725393474,0.15477682964496867
