detector,localization,edge_mae,ler_mae,lwr_mae,n
canny,pixel,0.5792182945273657,0.22806490307377172,0.23211496890643502,320
canny,sub-pixel,0.36504894275325084,0.12086002354011374,0.12313053413478592,320
threshold,pixel,0.41928519346700427,0.06515610781524535,0.07436393044353314,320
threshold,sub-pixel,0.27433804423926345,0.06465292380843084,0.07531379453656976,320
